Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
Mon 5/22,Luke 9,Num 25,Col 3,1Tim 4,Job 18,Psalm 142,Prov 18,2Kings 16,Ezek 19,Acts 2
Tue 5/23,Luke 10,Num 26,Col 4,1Tim 5,Job 19,Psalm 143,Prov 19,2Kings 17,Ezek 20,Acts 3
Wed 5/24,Luke 11,Num 27,Heb 1,1Tim 6,Job 20,Psalm 144,Prov 20,2Kings 18,Ezek 21,Acts 4
Thu 5/25,Luke 12,Num 28,Heb 2,2Tim 1,Job 21,Psalm 145,Prov 21,2Kings 19,Ezek 22,Acts 5
Fri 5/26,Luke 13,Num 29,Heb 3,2Tim 2,Job 22,Psalm 146,Prov 22,2Kings 20,Ezek 23,Acts 6
Sat 5/27,Luke 14,Num 30,Heb 4,2Tim 3,Job 23,Psalm 147,Prov 23,2Kings 21,Ezek 24,Acts 7
L.D. 5/28,Luke 15,Num 31,Heb 5,2Tim 4,Job 24,Psalm 148,Prov 24,2Kings 22,Ezek 25,Acts 8
Mon 5/29,Luke 16,Num 32,Heb 6,Titus 1,Job 25,Psalm 149,Prov 25,2Kings 23,Ezek 26,Acts 9
Tue 5/30,Luke 17,Num 33,Heb 7,Titus 2,Job 26,Psalm 150,Prov 26,2Kings 24,Ezek 27,Acts 10
Wed 5/31,Luke 18,Num 34,Heb 8,Titus 3,Job 27,Psalm 1,Prov 27,2Kings 25,Ezek 28,Acts 11
Thu 6/1,Luke 19,Num 35,Heb 9,Philemon,Job 28,Psalm 2,Prov 28,1Chron 1,Ezek 29,Acts 12
Fri 6/2,Luke 20,Num 36,Heb 10,James 1,Job 29,Psalm 3,Prov 29,1Chron 2,Ezek 30,Acts 13
Sat 6/3,Luke 21,Deut 1,Heb 11,James 2,Job 30,Psalm 4,Prov 30,1Chron 3,Ezek 31,Acts 14
L.D. 6/4,Luke 22,Deut 2,Heb 12,James 3,Job 31,Psalm 5,Prov 31,1Chron 4,Ezek 32,Acts 15
Mon 6/5,Luke 23,Deut 3,Heb 13,James 4,Job 32,Psalm 6,Prov 1,1Chron 5,Ezek 33,Acts 16
Tue 6/6,Luke 24,Deut 4,Romans 1,James 5,Job 33,Psalm 7,Prov 2,1Chron 6,Ezek 34,Acts 17
Wed 6/7,John 1,Deut 5,Romans 2,1Peter 1,Job 34,Psalm 8,Prov 3,1Chron 7,Ezek 35,Acts 18
Thu 6/8,John 2,Deut 6,Romans 3,1Peter 2,Job 35,Psalm 9,Prov 4,1Chron 8,Ezek 36,Acts 19
Fri 6/9,John 3,Deut 7,Romans 4,1Peter 3,Job 36,Psalm 10,Prov 5,1Chron 9,Ezek 37,Acts 20
Sat 6/10,John 4,Deut 8,Romans 5,1Peter 4,Job 37,Psalm 11,Prov 6,1Chron 10,Ezek 38,Acts 21
L.D. 6/11,John 5,Deut 9,Romans 6,1Peter 5,Job 38,Psalm 12,Prov 7,1Chron 11,Ezek 39,Acts 22
Mon 6/12,John 6,Deut 10,Romans 7,2Peter 1,Job 39,Psalm 13,Prov 8,1Chron 12,Ezek 40,Acts 23
Tue 6/13,John 7,Deut 11,Romans 8,2Peter 2,Job 40,Psalm 14,Prov 9,1Chron 13,Ezek 41,Acts 24
Wed 6/14,John 8,Deut 12,Romans 9,2Peter 3,Job 41,Psalm 15,Prov 10,1Chron 14,Ezek 42,Acts 25
Thu 6/15,John 9,Deut 13,Romans 10,1John 1,Job 42,Psalm 16,Prov 11,1Chron 15,Ezek 43,Acts 26
Fri 6/16,John 10,Deut 14,Romans 11,1John 2,Eccles 1,Psalm 17,Prov 12,1Chron 16,Ezek 44,Acts 27
Sat 6/17,John 11,Deut 15,Romans 12,1John 3,Eccles 2,Psalm 18,Prov 13,1Chron 17,Ezek 45,Acts 28
L.D. 6/18,John 12,Deut 16,Romans 13,1John 4,Eccles 3,Psalm 19,Prov 14,1Chron 18,Ezek 46,Acts 1
Mon 6/19,John 13,Deut 17,Romans 14,1John 5,Eccles 4,Psalm 20,Prov 15,1Chron 19,Ezek 47,Acts 2
Tue 6/20,John 14,Deut 18,Romans 15,2John,Eccles 5,Psalm 21,Prov 16,1Chron 20,Ezek 48,Acts 3
Wed 6/21,John 15,Deut 19,Romans 16,3John,Eccles 6,Psalm 22,Prov 17,1Chron 21,Daniel 1,Acts 4
Thu 6/22,John 16,Deut 20,1Cor 1,Jude,Eccles 7,Psalm 23,Prov 18,1Chron 22,Daniel 2,Acts 5
Fri 6/23,John 17,Deut 21,1Cor 2,Rev 1,Eccles 8,Psalm 24,Prov 19,1Chron 23,Daniel 3,Acts 6
Sat 6/24,John 18,Deut 22,1Cor 3,Rev 2,Eccles 9,Psalm 25,Prov 20,1Chron 24,Daniel 4,Acts 7
L.D. 6/25,John 19,Deut 23,1Cor 4,Rev 3,Eccles 10,Psalm 26,Prov 21,1Chron 25,Daniel 5,Acts 8
Mon 6/26,John 20,Deut 24,1Cor 5,Rev 4,Eccles 11,Psalm 27,Prov 22,1Chron 26,Daniel 6,Acts 9
Tue 6/27,John 21,Deut 25,1Cor 6,Rev 5,Eccles 12,Psalm 28,Prov 23,1Chron 27,Daniel 7,Acts 10
Wed 6/28,Matt 1,Deut 26,1Cor 7,Rev 6,Song 1,Psalm 29,Prov 24,1Chron 28,Daniel 8,Acts 11
Thu 6/29,Matt 2,Deut 27,1Cor 8,Rev 7,Song 2,Psalm 30,Prov 25,1Chron 29,Daniel 9,Acts 12
Fri 6/30,Matt 3,Deut 28,1Cor 9,Rev 8,Song 3,Psalm 31,Prov 26,2Chron 1,Daniel 10,Acts 13
